"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C1","NICHICON_A","58.674mm","7.2263mm","58.674mm","7.239mm","58.674mm","8.7376mm","T","90.00","10uF"
"C3","CAP0603","54.102mm","8.255mm","54.102mm","8.255mm","54.102mm","9.1694mm","T","270.00","1uF"
"C4","CAP0603","50.165mm","12.446mm","50.165mm","12.446mm","50.165mm","11.5316mm","T","90.00","1uF"
"C2","CAP0603","60.96mm","7.239mm","60.96mm","7.239mm","60.96mm","8.1534mm","T","270.00","0.1uF"
"D1","SOD123","59.436mm","16.891mm","59.436mm","16.891mm","61.286mm","16.891mm","T","180.00","1N5819HW"
"L1","INDNRS5020","59.436mm","13.081mm","59.436mm","13.081mm","59.436mm","11.281mm","T","90.00","INDNRS5020"
"R2","RES0603","52.07mm","8.255mm","52.07mm","8.255mm","52.07mm","7.405mm","T","90.00","10kOHM"
"R10","RES0603","60.833mm","51.562mm","60.833mm","51.562mm","61.683mm","51.562mm","T","180.00","10OHM"
"R3","RES0603","56.134mm","8.255mm","56.134mm","8.255mm","56.134mm","7.405mm","T","90.00","51OHM"
"U2","TSOT-23-5","54.61mm","15.621mm","54.61mm","15.621mm","55.56mm","16.921mm","T","180.00","MP3302"
"C5","NICHICON_A","19.05mm","15.2273mm","19.05mm","15.24mm","19.05mm","16.7386mm","T","90.00","10uF"
"C7","CAP0603","16.51mm","15.24mm","16.51mm","15.24mm","16.51mm","16.1544mm","T","270.00","0.1uF"
"C6","NICHICON_A","29.21mm","15.2273mm","29.21mm","15.24mm","29.21mm","16.7386mm","T","90.00","10uF"
"C8","CAP0603","31.75mm","15.24mm","31.75mm","15.24mm","31.75mm","16.1544mm","T","270.00","0.1uF"
"P2","52207-0460","95.25mm","49.918mm","95.25mm","48.768mm","93.75mm","48.768mm","T","180.00","52207-0460"
"Q1","S08","42.418mm","11.303mm","39.624mm","13.208mm","39.624mm","13.208mm","T","360.00","Si4532DY"
"R6","RES0603","91.186mm","26.67mm","91.186mm","26.67mm","90.336mm","26.67mm","T","0.00","10kOHM"
"R7","RES0603","91.186mm","28.448mm","91.186mm","28.448mm","90.336mm","28.448mm","T","0.00","10kOHM"
"R8","RES0603","91.186mm","35.306mm","91.186mm","35.306mm","90.336mm","35.306mm","T","0.00","10kOHM"
"R9","RES0603","91.186mm","37.084mm","91.186mm","37.084mm","90.336mm","37.084mm","T","0.00","10kOHM"
"R4","RES0603","36.449mm","9.398mm","36.449mm","9.398mm","36.449mm","10.248mm","T","270.00","10kOHM"
"R5","RES0603","36.449mm","13.081mm","36.449mm","13.081mm","36.449mm","12.231mm","T","90.00","10kOHM"
"R1","R0603","42.418mm","7.112mm","42.418mm","7.112mm","41.568mm","7.112mm","T","360.00","ZeroOhm"
"U3","TSSOP16_.65P_TI","95.885mm","34.29mm","95.885mm","34.29mm","98.16mm","37.09mm","T","270.00","TSC2046"
"U1","SOT-223","24.13mm","15.24mm","24.13mm","15.24mm","26.3525mm","18.415mm","T","180.00","LM1117MPX"
"C12","CAP0603","91.44mm","45.085mm","91.44mm","45.085mm","92.3544mm","45.085mm","T","180.00","0.01uF"
"C11","CAP0603","91.44mm","43.307mm","91.44mm","43.307mm","92.3544mm","43.307mm","T","180.00","0.01uF"
"C10","CAP0603","91.44mm","41.529mm","91.44mm","41.529mm","92.3544mm","41.529mm","T","180.00","0.01uF"
"C9","CAP0603","91.44mm","39.751mm","91.44mm","39.751mm","92.3544mm","39.751mm","T","180.00","0.01uF"